Rebalanceo,LSTM_GA_Costs,GARCH_Costs
0,100.0,100.0
1,66.51133616446903,16.566362151864045
2,39.98061552028549,20.424900788936462
3,23.754267657067874,36.315819018487964
4,17.674413415269733,30.917425183766692
5,23.989631672699222,24.265145701491782
6,64.69104371991536,33.57108305496286
7,84.15317925188269,27.301438620437903
8,93.77935619469206,44.90351025137587
9,74.12532483636123,24.915802956631993
10,144.713339117766,26.462452336753486
11,77.03483605978994,32.18967893933723
12,100.79792160473458,16.8167231115646
13,74.18800277031728,30.550571795408025
14,71.89819416080884,22.014749339697875
15,44.943601894597315,50.13850238006027
16,127.55116493403676,42.99870791901198
17,84.8417617088805,24.732614094974604
18,108.94481958469193,30.81383188437389
19,60.220840205301585,9.958244458666341
20,56.05572860133914,18.74505045782493
21,64.70030028795988,22.121602232174915
22,31.2959800057346,21.502633537624444
23,57.454946947715555,11.002184623445322
24,72.12782559701763,12.689191372499826
25,107.18646330554057,13.702461720150731
26,49.592643242111706,20.714259486314017
27,73.13390828095935,21.712639583067258
28,114.44086440163255,19.355789192067018
29,108.5453056803112,18.64984910374504
30,59.163956905928195,15.756272964808346
31,77.93502201723263,48.78351480727944
32,139.74889074210688,37.03549077903713
33,27.3636986230711,18.39503749567211
34,68.09929899305786,37.214287477443776
35,281.93137690965176,30.745717789733977
36,97.27321261860102,19.348155580545814
37,314.0122363960429,11.66007596029411
38,169.6744233953307,24.62197448074212
39,255.68921770314105,20.770962051218188
40,193.3775803998913,11.642165843994492
41,154.8444996923594,21.095143185326265
