Rebalanceo,LSTM_GA_Costs,GARCH_Costs
0,100.0,100.0
1,66.51133655536054,16.566710041419842
2,38.67260865120585,20.42466620180997
3,25.414242308999075,36.31566965371822
4,17.667973477375043,30.91745569435717
5,23.980890227497714,24.265168268330843
6,64.66747333386003,33.57128380861683
7,84.12252480825471,27.301209005469207
8,93.74519719355847,44.90371311262857
9,74.09833021460513,24.915559191648995
10,144.6606394912311,26.4622193192368
11,77.00678445605445,32.18960732369142
12,100.76122215324745,16.816897261828007
13,74.16098757792176,30.550879125471653
14,71.87201724140373,22.014990055213797
15,44.9272364578024,50.13875444510319
16,127.50471302296809,42.998821899475345
17,84.810857898641,24.73277243446678
18,108.90513267025358,30.81403065161827
19,60.198903311456306,9.95915735827778
20,56.03531212432472,18.74515129811102
21,64.67673267937286,22.121604322243435
22,31.284580190305586,21.50218974536617
23,57.43401506910134,11.002298919116443
24,72.10154391587838,12.689194214945918
25,107.14741956365307,13.702364324832516
26,49.57457274884279,20.71432440904622
27,73.10726410295109,21.71243528619895
28,114.39916957418161,19.3411255981452
29,108.50576670922565,18.635992701565797
30,59.14241060700702,15.75564242060456
31,77.90664132387168,48.78297030277119
32,139.69800783260928,37.03665009344398
33,27.35373513363627,18.39585514377142
34,68.0745044160923,37.21485835848893
35,281.82872966577935,30.746138955280365
36,97.23780812934552,19.349775189733382
37,313.8979664663923,11.663338111476515
38,169.61266793969713,24.625319948326325
39,255.59616132357738,20.77035530949081
40,193.30720246139958,11.64457640948809
41,154.78814556888753,21.089273631653448
