algorithm,run,cost,param_error_%,time_s,best_params
PSO,1,5.2208834892353995,6.878391635584497,336.95883798599243,"[2.85160730e+00 1.73782330e+00 8.07752710e-03 7.26842344e-03
 2.09160649e-01 1.92438745e-02 1.09790403e-03]"
PSO,2,5.200383217710562,3.5784831243663224,343.14911580085754,"[2.57184292e+00 1.78775155e+00 7.76705212e-03 8.15698216e-03
 2.07743313e-01 1.95890723e-02 1.08502172e-03]"
PSO,3,5.193461538701841,3.7545220518823195,340.93735122680664,"[2.44543713e+00 1.79347676e+00 8.69759929e-03 7.35226261e-03
 2.06627575e-01 1.98307624e-02 1.04649730e-03]"
GWO,1,5.202516995717498,0.19195720061885183,347.8019757270813,"[2.45470302e+00 1.83351287e+00 8.01535661e-03 8.01535636e-03
 2.03389668e-01 2.00383919e-02 1.00191954e-03]"
GWO,2,5.201584476368306,0.2327804886045877,344.3902027606964,"[2.45570312e+00 1.83425988e+00 8.01862244e-03 8.01862244e-03
 2.03472544e-01 2.00465561e-02 1.00232780e-03]"
GWO,3,5.201584404514702,0.22541850798073934,357.4004147052765,"[2.45552275e+00 1.83412516e+00 8.01803348e-03 8.01803348e-03
 2.03457600e-01 2.00450837e-02 1.00225419e-03]"
