algorithm,run,cost,param_error_%,time_s,best_params,cost_history
PSO,1,463.1816248997272,7.284813857102397,2028.4045538902283,"[2.46449181e+00 1.74966524e+00 8.44074859e-03 7.18222397e-03
 1.96661973e-01 1.85682843e-02 1.20000000e-03]","[np.float64(463.46120291270324), np.float64(463.46120291270324), np.float64(463.2975072264251), np.float64(463.2975072264251), np.float64(463.2975072264251), np.float64(463.2975072264251), np.float64(463.2975072264251), np.float64(463.2975072264251), np.float64(463.2975072264251), np.float64(463.2975072264251), np.float64(463.2975072264251), np.float64(463.2718703057408), np.float64(463.2718703057408), np.float64(463.2718703057408), np.float64(463.2718703057408), np.float64(463.2718703057408), np.float64(463.2367364078828), np.float64(463.2367364078828), np.float64(463.2367364078828), np.float64(463.2367364078828), np.float64(463.2367364078828), np.float64(463.2160935957962), np.float64(463.20970236086316), np.float64(463.20225756939436), np.float64(463.20225756939436), np.float64(463.20225756939436), np.float64(463.20225756939436), np.float64(463.20225756939436), np.float64(463.20225756939436), np.float64(463.20225756939436), np.float64(463.20123896163375), np.float64(463.2006940991649), np.float64(463.2006940991649), np.float64(463.2006940991649), np.float64(463.1990807738387), np.float64(463.19648959939383), np.float64(463.19648959939383), np.float64(463.19648959939383), np.float64(463.19648959939383), np.float64(463.19648959939383), np.float64(463.19648959939383), np.float64(463.1948551646235), np.float64(463.1948551646235), np.float64(463.1948551646235), np.float64(463.1939558731288), np.float64(463.1939558731288), np.float64(463.1939558731288), np.float64(463.1933021563856), np.float64(463.1920134949136), np.float64(463.1913341374441), np.float64(463.1909841595868), np.float64(463.1892131319492), np.float64(463.186938548951), np.float64(463.1860482504728), np.float64(463.18495385445067), np.float64(463.1846074915091), np.float64(463.18381202186595), np.float64(463.1834104035059), np.float64(463.1830376160968), np.float64(463.1830376160968), np.float64(463.1829297647378), np.float64(463.1829297647378), np.float64(463.1826214015488), np.float64(463.1826214015488), np.float64(463.182593130507), np.float64(463.1825345562116), np.float64(463.18243561941745), np.float64(463.1824001022202), np.float64(463.18221233296777), np.float64(463.18221233296777), np.float64(463.18221233296777), np.float64(463.18221233296777), np.float64(463.1821919581865), np.float64(463.182161378556), np.float64(463.182161378556), np.float64(463.182161378556), np.float64(463.182161378556), np.float64(463.1821075838737), np.float64(463.1820823381218), np.float64(463.18202211989126), np.float64(463.1819807471266), np.float64(463.18192638681336), np.float64(463.1818454978918), np.float64(463.1817802748941), np.float64(463.1817061062279), np.float64(463.18163169172664), np.float64(463.1816278793033), np.float64(463.18162669200785), np.float64(463.18162669200785), np.float64(463.18162621790066), np.float64(463.1816262133771), np.float64(463.18162598547974), np.float64(463.18162491709717), np.float64(463.18162491709717), np.float64(463.18162491709717), np.float64(463.18162491709717), np.float64(463.18162491709717), np.float64(463.18162491709717), np.float64(463.18162491709717), np.float64(463.1816248997272), np.float64(463.1816248997272)]"
PSO,2,463.181624156591,6.202536030864813,1978.9313962459564,"[2.46446135e+00 1.75449502e+00 8.16448569e-03 7.47922042e-03
 1.96957196e-01 1.85682058e-02 1.20000000e-03]","[np.float64(466.46758891253603), np.float64(463.71083026928), np.float64(463.5277136557241), np.float64(463.43897779141923), np.float64(463.43897779141923), np.float64(463.43897779141923), np.float64(463.29494219327523), np.float64(463.29494219327523), np.float64(463.29494219327523), np.float64(463.23225003258096), np.float64(463.19652109572246), np.float64(463.19652109572246), np.float64(463.19652109572246), np.float64(463.19652109572246), np.float64(463.19652109572246), np.float64(463.19652109572246), np.float64(463.19652109572246), np.float64(463.19652109572246), np.float64(463.19652109572246), np.float64(463.19652109572246), np.float64(463.19652109572246), np.float64(463.19652109572246), np.float64(463.19536705554344), np.float64(463.19536705554344), np.float64(463.1952955995753), np.float64(463.1952955995753), np.float64(463.1952955995753), np.float64(463.1942325396826), np.float64(463.1880875450103), np.float64(463.1880875450103), np.float64(463.1880875450103), np.float64(463.1880875450103), np.float64(463.1880875450103), np.float64(463.1880875450103), np.float64(463.1880875450103), np.float64(463.1880875450103), np.float64(463.1880875450103), np.float64(463.1880875450103), np.float64(463.1880875450103), np.float64(463.1876482986778), np.float64(463.1849742949421), np.float64(463.1849742949421), np.float64(463.1849742949421), np.float64(463.1849742949421), np.float64(463.1849742949421), np.float64(463.1849742949421), np.float64(463.1849742949421), np.float64(463.1849742949421), np.float64(463.1849742949421), np.float64(463.18370003784617), np.float64(463.18370003784617), np.float64(463.18370003784617), np.float64(463.18319641320124), np.float64(463.18319641320124), np.float64(463.18319641320124), np.float64(463.18319641320124), np.float64(463.18311643443224), np.float64(463.18311643443224), np.float64(463.1830122194339), np.float64(463.18295100628075), np.float64(463.18295100628075), np.float64(463.18259136614324), np.float64(463.18259136614324), np.float64(463.18255066191085), np.float64(463.18255066191085), np.float64(463.1825437595999), np.float64(463.1825437595999), np.float64(463.1824819415347), np.float64(463.1824567083956), np.float64(463.18241813687166), np.float64(463.1823987160774), np.float64(463.1823987160774), np.float64(463.1823865798102), np.float64(463.1823865798102), np.float64(463.18233980615184), np.float64(463.18226085749745), np.float64(463.18218456309876), np.float64(463.18212314992934), np.float64(463.18207469263785), np.float64(463.18202967111563), np.float64(463.1819092107285), np.float64(463.18183562163375), np.float64(463.1817387589143), np.float64(463.18167390979806), np.float64(463.1816503454891), np.float64(463.18164238150035), np.float64(463.1816302263423), np.float64(463.1816276504173), np.float64(463.18162478524164), np.float64(463.18162478524164), np.float64(463.18162478524164), np.float64(463.18162478524164), np.float64(463.1816245142731), np.float64(463.18162425925425), np.float64(463.18162425925425), np.float64(463.1816241976505), np.float64(463.18162418941586), np.float64(463.18162418941586), np.float64(463.18162418941586), np.float64(463.18162418893655), np.float64(463.181624156591)]"
PSO,3,463.18162967603007,6.398485558796481,1942.8025119304657,"[2.46445392e+00 1.75392993e+00 8.21134913e-03 7.42045398e-03
 1.96851148e-01 1.85745144e-02 1.20000000e-03]","[np.float64(464.13841091484414), np.float64(463.7663600269928), np.float64(463.40246903158163), np.float64(463.3797541758473), np.float64(463.294886082348), np.float64(463.294886082348), np.float64(463.294886082348), np.float64(463.294886082348), np.float64(463.294886082348), np.float64(463.294886082348), np.float64(463.2007582017111), np.float64(463.2007582017111), np.float64(463.2007582017111), np.float64(463.2007582017111), np.float64(463.2007582017111), np.float64(463.2007582017111), np.float64(463.2007582017111), np.float64(463.2007582017111), np.float64(463.2007582017111), np.float64(463.2007582017111), np.float64(463.2007582017111), np.float64(463.2007582017111), np.float64(463.2007582017111), np.float64(463.2007582017111), np.float64(463.1928641989292), np.float64(463.1928641989292), np.float64(463.1928641989292), np.float64(463.1928641989292), np.float64(463.1922052206443), np.float64(463.1922052206443), np.float64(463.1922052206443), np.float64(463.18673863422197), np.float64(463.18673863422197), np.float64(463.18673863422197), np.float64(463.18673863422197), np.float64(463.18673863422197), np.float64(463.1851835087061), np.float64(463.1851835087061), np.float64(463.1851835087061), np.float64(463.18454062302914), np.float64(463.18454062302914), np.float64(463.18454062302914), np.float64(463.18454062302914), np.float64(463.18454062302914), np.float64(463.18454062302914), np.float64(463.18454062302914), np.float64(463.18454062302914), np.float64(463.18396255358005), np.float64(463.183746308066), np.float64(463.183746308066), np.float64(463.183746308066), np.float64(463.18271208230266), np.float64(463.18271208230266), np.float64(463.18271208230266), np.float64(463.18253707064304), np.float64(463.18253707064304), np.float64(463.18253707064304), np.float64(463.18253707064304), np.float64(463.18247999760655), np.float64(463.18247999760655), np.float64(463.1824756699546), np.float64(463.1824756699546), np.float64(463.1824508762222), np.float64(463.1824508762222), np.float64(463.1824508762222), np.float64(463.1824508762222), np.float64(463.1824464124593), np.float64(463.1823294547144), np.float64(463.18229305711264), np.float64(463.18229305711264), np.float64(463.18224904619007), np.float64(463.18224904619007), np.float64(463.18224904619007), np.float64(463.182246996577), np.float64(463.182246996577), np.float64(463.1822366250513), np.float64(463.18222758012536), np.float64(463.18221914737296), np.float64(463.1822148602482), np.float64(463.1822003250814), np.float64(463.1822003250814), np.float64(463.1821819615941), np.float64(463.1821815844602), np.float64(463.1821729647579), np.float64(463.1821729647579), np.float64(463.18215752869855), np.float64(463.18214260655293), np.float64(463.1821330175447), np.float64(463.18211747428677), np.float64(463.18209658023596), np.float64(463.18206903763877), np.float64(463.1820449996919), np.float64(463.18201671563554), np.float64(463.1819846432956), np.float64(463.18194417938486), np.float64(463.1818913083646), np.float64(463.1818603898106), np.float64(463.1818006882743), np.float64(463.1817316934959), np.float64(463.1816776217061), np.float64(463.18162967603007)]"
GWO,1,463.20097089552337,2.3137787627213773,2007.152361869812,"[2.46387198e+00 1.81402742e+00 8.23220904e-03 7.68787456e-03
 2.00789482e-01 1.91102685e-02 1.02415666e-03]","[np.float64(464.020633685154), np.float64(463.9176467074098), np.float64(463.9176467074098), np.float64(463.79827558067296), np.float64(463.79827558067296), np.float64(463.57198395537347), np.float64(463.57198395537347), np.float64(463.57198395537347), np.float64(463.57198395537347), np.float64(463.57198395537347), np.float64(463.57198395537347), np.float64(463.2685880202082), np.float64(463.2685880202082), np.float64(463.2685880202082), np.float64(463.2685880202082), np.float64(463.2685880202082), np.float64(463.2685880202082), np.float64(463.2685880202082), np.float64(463.2685880202082), np.float64(463.2118028871623), np.float64(463.2118028871623), np.float64(463.2118028871623), np.float64(463.2118028871623), np.float64(463.2118028871623), np.float64(463.2118028871623), np.float64(463.2118028871623), np.float64(463.2118028871623), np.float64(463.2118028871623), np.float64(463.2118028871623), np.float64(463.2118028871623), np.float64(463.2118028871623), np.float64(463.2118028871623), np.float64(463.2118028871623), np.float64(463.2118028871623), np.float64(463.2118028871623), np.float64(463.2118028871623), np.float64(463.2118028871623), np.float64(463.2118028871623), np.float64(463.2118028871623), np.float64(463.2118028871623), np.float64(463.2118028871623), np.float64(463.2118028871623), np.float64(463.2118028871623), np.float64(463.2118028871623), np.float64(463.2118028871623), np.float64(463.2118028871623), np.float64(463.2118028871623), np.float64(463.2118028871623), np.float64(463.2118028871623), np.float64(463.2118028871623), np.float64(463.2118028871623), np.float64(463.20097089552337), np.float64(463.20097089552337), np.float64(463.20097089552337), np.float64(463.20097089552337), np.float64(463.20097089552337), np.float64(463.20097089552337), np.float64(463.20097089552337), np.float64(463.20097089552337), np.float64(463.20097089552337), np.float64(463.20097089552337), np.float64(463.20097089552337), np.float64(463.20097089552337), np.float64(463.20097089552337), np.float64(463.20097089552337), np.float64(463.20097089552337), np.float64(463.20097089552337), np.float64(463.20097089552337), np.float64(463.20097089552337), np.float64(463.20097089552337), np.float64(463.20097089552337), np.float64(463.20097089552337), np.float64(463.20097089552337), np.float64(463.20097089552337), np.float64(463.20097089552337), np.float64(463.20097089552337), np.float64(463.20097089552337), np.float64(463.20097089552337), np.float64(463.20097089552337), np.float64(463.20097089552337), np.float64(463.20097089552337), np.float64(463.20097089552337), np.float64(463.20097089552337), np.float64(463.20097089552337), np.float64(463.20097089552337), np.float64(463.20097089552337), np.float64(463.20097089552337), np.float64(463.20097089552337), np.float64(463.20097089552337), np.float64(463.20097089552337), np.float64(463.20097089552337), np.float64(463.20097089552337), np.float64(463.20097089552337), np.float64(463.20097089552337), np.float64(463.20097089552337), np.float64(463.20097089552337), np.float64(463.20097089552337), np.float64(463.20097089552337), np.float64(463.20097089552337), np.float64(463.20097089552337), np.float64(463.20097089552337)]"
GWO,2,463.3622207430954,3.796644402079019,2049.263687133789,"[2.45536190e+00 1.87432398e+00 8.43705304e-03 7.87269740e-03
 2.13499260e-01 1.98543271e-02 8.90192771e-04]","[np.float64(464.4024496641367), np.float64(464.4024496641367), np.float64(464.4024496641367), np.float64(463.57268446629115), np.float64(463.3918153282661), np.float64(463.3918153282661), np.float64(463.3918153282661), np.float64(463.3918153282661), np.float64(463.3918153282661), np.float64(463.3918153282661), np.float64(463.3918153282661), np.float64(463.3717948396277), np.float64(463.3717948396277), np.float64(463.3717948396277), np.float64(463.3717948396277), np.float64(463.3717948396277), np.float64(463.3717948396277), np.float64(463.3717948396277), np.float64(463.3717948396277), np.float64(463.3717948396277), np.float64(463.3717948396277), np.float64(463.3717948396277), np.float64(463.3717948396277), np.float64(463.3717948396277), np.float64(463.3717948396277), np.float64(463.3717948396277), np.float64(463.3717948396277), np.float64(463.3717948396277), np.float64(463.3717948396277), np.float64(463.3717948396277), np.float64(463.3717948396277), np.float64(463.3717948396277), np.float64(463.3717948396277), np.float64(463.3717948396277), np.float64(463.3717948396277), np.float64(463.3717948396277), np.float64(463.3717948396277), np.float64(463.3717948396277), np.float64(463.3717948396277), np.float64(463.3717948396277), np.float64(463.3717948396277), np.float64(463.3717948396277), np.float64(463.3717948396277), np.float64(463.3717948396277), np.float64(463.3628892053032), np.float64(463.3628892053032), np.float64(463.3628892053032), np.float64(463.3628892053032), np.float64(463.3628892053032), np.float64(463.3628892053032), np.float64(463.3628892053032), np.float64(463.3628892053032), np.float64(463.3628892053032), np.float64(463.3628892053032), np.float64(463.3628892053032), np.float64(463.3628892053032), np.float64(463.3628892053032), np.float64(463.3628892053032), np.float64(463.3628892053032), np.float64(463.3628892053032), np.float64(463.3628892053032), np.float64(463.3628892053032), np.float64(463.3628892053032), np.float64(463.3628892053032), np.float64(463.3628892053032), np.float64(463.3628892053032), np.float64(463.3628892053032), np.float64(463.3628892053032), np.float64(463.3622207430954), np.float64(463.3622207430954), np.float64(463.3622207430954), np.float64(463.3622207430954), np.float64(463.3622207430954), np.float64(463.3622207430954), np.float64(463.3622207430954), np.float64(463.3622207430954), np.float64(463.3622207430954), np.float64(463.3622207430954), np.float64(463.3622207430954), np.float64(463.3622207430954), np.float64(463.3622207430954), np.float64(463.3622207430954), np.float64(463.3622207430954), np.float64(463.3622207430954), np.float64(463.3622207430954), np.float64(463.3622207430954), np.float64(463.3622207430954), np.float64(463.3622207430954), np.float64(463.3622207430954), np.float64(463.3622207430954), np.float64(463.3622207430954), np.float64(463.3622207430954), np.float64(463.3622207430954), np.float64(463.3622207430954), np.float64(463.3622207430954), np.float64(463.3622207430954), np.float64(463.3622207430954), np.float64(463.3622207430954), np.float64(463.3622207430954), np.float64(463.3622207430954), np.float64(463.3622207430954)]"
GWO,3,463.34999984171094,2.6758871468311507,2085.2458186149597,"[2.46024383e+00 1.88679821e+00 8.26583162e-03 8.22063497e-03
 2.11504901e-01 1.96305406e-02 1.03091631e-03]","[np.float64(464.9666115595438), np.float64(464.9666115595438), np.float64(464.7100395439446), np.float64(464.7100395439446), np.float64(464.7100395439446), np.float64(464.7100395439446), np.float64(464.7100395439446), np.float64(464.7100395439446), np.float64(464.3970692946341), np.float64(463.98665568790216), np.float64(463.98665568790216), np.float64(463.98665568790216), np.float64(463.98665568790216), np.float64(463.98665568790216), np.float64(463.9864572282404), np.float64(463.9864572282404), np.float64(463.9864572282404), np.float64(463.81423795393687), np.float64(463.7787695709592), np.float64(463.7787695709592), np.float64(463.7787695709592), np.float64(463.7787695709592), np.float64(463.7787695709592), np.float64(463.7787695709592), np.float64(463.7787695709592), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094), np.float64(463.34999984171094)]"
