algorithm,run,cost,param_error_%,time_s
PSO,1,0.000794028226343521,3.950152753849058,11.440121173858643
PSO,2,0.002397448999266131,12.962480843943277,11.888303756713867
PSO,3,0.000967597600108302,8.276337868640606,11.829102277755737
GWO,1,0.049005773781673596,10.760378911944215,11.204597234725952
GWO,2,0.16206699758091295,7.392321230723257,10.943177700042725
GWO,3,0.20507293694348377,2.1795624664465376,11.02321743965149
