algoritmo,run,costo,error_%,rs_real,rs_estimado,rr_real,rr_estimado,Lls_real,Lls_estimado,Llr_real,Llr_estimado,Lm_real,Lm_estimado,J_real,J_estimado,B_real,B_estimado
PSO,1,5.2208834892353995,6.878391635584497,2.45,2.8516073049285304,1.83,1.7378233003638532,0.008,0.008077527103139923,0.008,0.007268423438350371,0.203,0.20916064922088107,0.02,0.019243874497924144,0.001,0.0010979040253974435
PSO,2,5.200383217710562,3.5784831243663224,2.45,2.5718429224408195,1.83,1.787751553503676,0.008,0.007767052117333739,0.008,0.008156982158731257,0.203,0.20774331268945573,0.02,0.019589072255025944,0.001,0.0010850217160576373
PSO,3,5.193461538701841,3.7545220518823195,2.45,2.4454371260107433,1.83,1.7934767620487946,0.008,0.008697599289559927,0.008,0.007352262613839111,0.203,0.20662757535957527,0.02,0.019830762441931885,0.001,0.0010464973008338567
GWO,1,5.202516995717498,0.19195720061885183,2.45,2.45470302196587,1.83,1.8335128668545895,0.008,0.008015356606829496,0.008,0.008015356357573665,0.203,0.20338966757343177,0.02,0.0200383918784604,0.001,0.001001919544696708
GWO,2,5.201584476368306,0.2327804886045877,2.45,2.4557031221279644,1.83,1.8342598829115395,0.008,0.008018622440095602,0.008,0.008018622440574628,0.203,0.20347254441456997,0.02,0.02004655609360329,0.001,0.0010023278046206133
GWO,3,5.201584404514702,0.22541850798073934,2.45,2.455522754284747,1.83,1.834125159604404,0.008,0.008018033477238133,0.008,0.008018033476824405,0.203,0.20345759964147314,0.02,0.020045083687483266,0.001,0.0010022541855021726
