Algorithm,Run,Seed,Configuration,Time_s,Final_Cost,Best_Cost_Iter,Num_FO_Evaluations,Convergence_Iteration,Converged_Successfully,MSE_Current,MSE_Torque,MSE_RPM,RMSE_Total,MAE_Current,MAE_Torque,MAE_RPM,rs_identified,rr_identified,Lls_identified,Llr_identified,Lm_identified,J_identified,B_identified,Error_pct_rs,Error_pct_rr,Error_pct_Lls,Error_pct_Llr,Error_pct_Lm,Error_pct_J,Error_pct_B,Average_Error_Pct,Average_Absolute_Error,Euclidean_Distance,Max_Param_Error,Good_Params_5pct,R_Squared,MAPE_Average,Theil_Coefficient,Criterion_Error10pct,Criterion_Cost001,Criterion_5Params5pct,Criterion_R2_95pct,Criteria_Met
PSO,1,431120,PSO_30p_50i,124.50459241867064,80.66011107422585,80.66011107422585,1500.0,-1.0,False,0.1086441243442712,0.1164920199830367,268.3107364663002,8.981097431507235,1.504095542836961,1.7816632096037353,53.31378396092626,2.939042651374504,1.74385375548394,0.0084397620700209,0.0060298606338333,0.208695165151577,0.0200013533330384,0.0011324876789408,19.960924545898106,4.7074450555224105,5.497025875262186,24.626742077082717,2.8055000746684606,0.0067666651924584,13.248767894082036,10.121881741101197,0.0833468290700439,0.4966089181723842,24.626742077082717,3.0,0.9986218064360884,18.28878655010109,0.0134682033393275,False,False,False,True,1.0
PSO,2,319943,PSO_30p_50i,131.3237702846527,84.9073573185737,84.9073573185737,1500.0,-1.0,False,3.352845735559099,1.259244691216264,269.74963079135495,9.214518832721202,4.399265117940399,3.195584939253708,51.555697187086025,2.324314021751809,2.200870210705002,0.0096953138210625,0.0103770393383948,0.162183422208247,0.0166952729442999,0.0007653865037553,5.13003992849758,20.266131732513763,21.191422763281636,29.71299172993603,20.10668856736599,16.52363527850026,23.46134962446593,19.48460851779445,0.0778549229223354,0.3937349006737666,29.71299172993603,0.0,0.9574678295634892,20.49047847010433,0.0807132412895022,False,False,False,True,1.0
PSO,3,861914,PSO_30p_50i,130.22952389717102,86.33912020390346,86.33912020390346,1500.0,-1.0,False,2.0011029959141777,0.3181921982725711,280.5964036961767,9.291884642197376,4.101758947138045,2.7134854801070816,53.060237895882665,3.051570807180896,1.4915827463195894,0.0067972930840689,0.0057513786176509,0.1757600900564161,0.0205683261643119,0.0013991866510581,24.55391049717941,18.49274610275468,15.03383644913844,28.10776727936305,13.418674849056089,2.8416308215595785,39.91866510581716,20.338175872124054,0.1388066874169343,0.6907696225814063,39.91866510581716,1.0,0.9746152193103984,26.691301310801947,0.0549678233795522,False,False,False,True,1.0
PSO,4,988606,PSO_30p_50i,125.66117095947266,85.92367226195516,85.92367226195516,1500.0,-1.0,False,0.9520261503382244,0.0836543193032156,283.0993965065511,9.269502266138952,2.24303700358681,1.1414273767086645,53.134428653652094,2.2783950049310677,1.6437210708472445,0.0080933000409325,0.0074939935822243,0.1467118541938745,0.0196304970565385,0.0013549337704578,7.004285513017669,10.179176456434742,1.1662505116568755,6.3250802221958935,27.72815064341153,1.8475147173070867,35.49337704578633,12.82054787283002,0.0593565447429202,0.259455191497485,35.49337704578633,2.0,0.9879231728269632,27.695939380447225,0.0387989187478121,False,False,False,True,1.0
PSO,5,955355,PSO_30p_50i,122.62056136131288,86.85389828068338,86.85389828068338,1500.0,-1.0,False,1.4986640627047796,0.3335078486327285,283.9616009788741,9.31954388801745,2.74420190859826,1.961419141154176,56.08636789509751,2.122954263790411,2.1684508535916622,0.008333387100517,0.0100985189416071,0.1446413002076906,0.0188927008687011,0.0006126160065061,13.348805559575071,18.494582163478807,4.167338756463131,26.231486770089944,28.74812797650708,5.536495656494247,38.73839934938968,19.32360517599971,0.1039688398229253,0.4742568110398391,38.73839934938968,1.0,0.9809888553278744,22.06143613409563,0.0520766876373787,False,False,False,True,1.0
PSO,6,858061,PSO_30p_50i,121.89829897880554,79.47853937332529,79.47853937332529,1500.0,-1.0,False,0.0772992731770536,0.0749782695035092,264.5458365513216,8.915073716651214,0.90474038425668,0.991429295128102,54.35996645022283,2.220138318359022,1.8895166175754,0.0054698630669377,0.0112191166717306,0.2067698958083448,0.0200767848908584,0.0014776943506844,9.382109454733795,3.2522741844480785,31.62671166327797,40.23895839663283,1.8570915312043497,0.3839244542922122,47.7694350684428,19.21578639329029,0.0427788468387226,0.2375075387470866,47.7694350684428,3.0,0.9990194282347928,24.394822884359986,0.011403241301966,False,False,False,True,1.0
PSO,7,300980,PSO_30p_50i,122.67287468910216,80.39054894633355,80.39054894633355,1500.0,-1.0,False,1.5645411571064471,0.9884857934574957,261.10588297499453,8.966077679026295,3.863370892949306,4.8371887430458855,50.68312721014934,3.668464482609093,1.8487909489438537,0.0084491086244788,0.0068810826874373,0.2925287569507148,0.0175218108524774,0.0006231576565364,49.73324418812623,1.026827811139552,5.613857805985807,13.986466407033166,44.10283593631269,12.39094573761269,37.6842343463506,23.505487461794388,0.190172463704527,1.2218968575822209,49.73324418812623,1.0,0.9801531784050628,22.07085733321057,0.0538673693349461,False,False,False,True,1.0
PSO,8,344578,PSO_30p_50i,122.40341138839722,88.09922246167677,88.09922246167677,1500.0,-1.0,False,2.3889296471984878,0.8406664734915626,284.29986525910834,9.386118604709658,3.649245729257796,2.6831341586886985,54.489899879998575,2.3037465727064905,1.642332321554381,0.0042034874542299,0.0099473120420911,0.2322353060083332,0.0226711196744004,0.0011464451866027,5.969527644633047,10.255064395935468,47.45640682212522,24.34140052613972,14.401628575533628,13.355598372002277,14.644518660275867,18.632020713806465,0.0531025430280466,0.2397692380266371,47.45640682212522,0.0,0.9696954852894428,21.129167953055184,0.0598502442949181,False,False,False,True,1.0
PSO,9,316794,PSO_30p_50i,121.9769537448883,82.53993331117216,82.53993331117216,1500.0,-1.0,False,1.4376065980100143,0.2860446565222039,269.86434794967016,9.085149052776854,2.9701076471242907,1.7025379816950714,50.25317113938286,2.411138868646315,2.043513264482864,0.0113991814602109,0.0066083521673904,0.220276530239899,0.0186950908824371,0.0006198362457579,1.586168626681023,11.66739150179584,42.48976825263727,17.39559790761966,8.510606029506883,6.524545587814188,38.01637542420227,18.027207618608163,0.0394466897487247,0.2177427807481168,42.48976825263727,1.0,0.981763393347109,16.61687733971638,0.0516971279317344,False,False,False,True,1.0
PSO,10,846878,PSO_30p_50i,123.42724204063416,85.43827517558803,85.43827517558803,1500.0,-1.0,False,1.183862826263398,0.6343366233484705,279.7908134588347,9.24328270559697,3.3535294193994183,3.687721333583095,54.75537247566467,3.3440641422542545,1.9239377008060237,0.0086968463040501,0.0071740038862129,0.2377516457209103,0.0179944430781694,0.0014871326447239,36.4924139695614,5.133207694318217,8.710578800627445,10.324951422337843,17.11903730094102,10.02778460915262,48.713264472393824,19.50303403847605,0.146681288680797,0.8996599837710916,48.713264472393824,0.0,0.984982233162097,27.529111418310663,0.0466558895072278,False,False,False,True,1.0
PSO,11,597163,PSO_30p_50i,123.15581917762756,83.01000870174802,83.01000870174802,1500.0,-1.0,False,5.461114480691718,0.5764992436285122,257.5354819974735,9.110982861456169,4.757180917640714,2.7157378787607285,52.79367349829636,2.291859484458353,1.5667719420572204,0.0062080311207107,0.00755565959911,0.1171961512555193,0.0221003839696111,0.0013519984519309,6.45471492006721,14.384046882119108,22.399610991116106,5.554255011123955,42.26790578545844,10.50191984805578,35.199845193095754,19.537471233005192,0.073123016275804,0.3188536932670798,42.26790578545844,0.0,0.9307236090814826,38.715634447803374,0.0881699613702795,False,False,False,False,0.0
PSO,12,807380,PSO_30p_50i,123.19300627708436,80.72193912466255,80.72193912466255,1500.0,-1.0,False,1.275476140987451,1.719669929182846,261.95542673027893,8.984538893268956,3.336443315332243,5.207667217269297,50.77141734819813,1.880512670231933,1.8088808851031144,0.0060348235717146,0.0090750105843558,0.2667831915036311,0.0233888487397694,0.0008259978251964,23.244380806859883,1.154049994365325,24.56470535356632,13.437632304447558,31.420291381099062,16.944243698847078,17.400217480352726,18.30936014564828,0.0944275248708282,0.5734515353867916,31.420291381099062,1.0,0.9838200821347556,21.11278035921011,0.0446494722413535,False,False,False,True,1.0
PSO,13,913294,PSO_30p_50i,122.93850946426392,81.99677527248811,81.99677527248811,1500.0,-1.0,False,0.379899597873074,0.8890812956277937,270.5744500893371,9.055207080596672,2.4173888350955224,4.46146780499398,51.869467861116846,3.3424199650220614,1.7294762570735966,0.0069043650846801,0.008623122625897,0.2175147492759617,0.0174429827759205,0.0010862761536603,36.425304694778006,5.493100706360843,13.695436441498332,7.789032823712774,7.150122796040241,12.785086120397375,8.627615366031032,13.137956992688371,0.1445457868776261,0.8981855205283529,36.425304694778006,0.0,0.9951808237778036,19.342118377342224,0.0258596666797934,False,False,False,True,1.0
PSO,14,710074,PSO_30p_50i,121.90958213806152,82.52968460995382,82.52968460995382,1500.0,-1.0,False,4.225962437115246,1.0827960272599613,259.207747197362,9.084584999324615,4.8887983875743295,2.985905011942576,52.78350688534988,2.321634250844592,2.286189658312635,0.0111815190228058,0.0091223262708132,0.1923570212585481,0.0169465944440307,0.0009194393633918,5.239418332873795,24.928396629105727,39.76898778507327,14.029078385165974,5.242846670665959,15.267027779846313,8.056063660810644,16.075974177648813,0.0860908853850987,0.4740472068889075,39.76898778507327,0.0,0.9463919998682238,18.43480324623452,0.0919348762997383,False,False,False,False,0.0
PSO,15,532494,PSO_30p_50i,123.39188051223756,92.44256904460056,92.44256904460055,1500.0,-1.0,False,2.158320283072244,0.442429286808487,300.2101137270802,9.614705874055668,3.594874669860747,2.2890817823599394,58.19573103041967,2.422698032147921,1.646833609103112,0.007600656668427,0.0062748022906074,0.1422914292387339,0.0219671595595044,0.0007452730814421,1.1143660347787503,10.009092398737057,4.991791644661696,21.56497136740704,29.905699882397077,9.835797797522106,25.472691855783165,14.69920156875527,0.0393604795756087,0.1949049131023427,29.905699882397077,2.0,0.9726208560201178,23.82707457399256,0.0571312732749356,False,False,False,True,1.0
PSO,16,648952,PSO_30p_50i,123.03520107269289,80.5662525408542,80.5662525408542,1500.0,-1.0,False,1.833545486912292,0.7676699084739826,261.16290699901634,8.97587057286669,3.2451945296222284,3.0477056046145883,53.48603250059682,2.4888181206217364,2.1237392805220106,0.0073344987528006,0.0114903567353193,0.1565001735061838,0.017546195977877,0.0011228146393339,1.5844130866014765,16.051326804481448,8.318765589992442,43.62945919149162,22.906318469860185,12.269020110614644,12.2814639333954,16.72010959806246,0.0551128148973626,0.2999508409620007,43.62945919149162,1.0,0.9767407523927002,23.594882920072557,0.0582534181942542,False,False,False,True,1.0
PSO,17,632946,PSO_30p_50i,128.25110411643982,81.51021529320555,81.51021529320555,1500.0,-1.0,False,2.599224185788682,1.8467611331269496,259.95870180284464,9.028300797669822,4.238578258884122,4.977492902437419,52.99619803864971,1.915967734798256,1.6572959956663933,0.006165524697504,0.0084123441734396,0.2951545244079399,0.0232028836528421,0.0014084313453727,21.797235314356914,9.437377285989442,22.93094128119981,5.154302167995104,45.396317442334905,16.014418264210743,40.843134537270295,23.081960899051037,0.114964132631063,0.5687913065135864,45.396317442334905,0.0,0.9670278161323668,31.18590357626569,0.0625468076024535,False,False,False,True,1.0
PSO,18,183136,PSO_30p_50i,132.1693241596222,80.40156155837609,80.40156155837609,1500.0,-1.0,False,1.4465236366330136,0.3692076696007271,262.5681136231424,8.966691784508715,3.525110864093591,2.8068352367318887,52.409088493713625,3.059670176233913,1.5701668109982316,0.0068523724644565,0.005895110883028,0.2959071458118284,0.0211809001237561,0.0008454054659542,24.884496989139294,14.198534918129422,14.345344194292538,26.311113962149523,45.76706690237853,5.904500618780975,15.45945340457387,20.9815015699206,0.1381426460511181,0.6692158946637076,45.76706690237853,0.0,0.9816502771955128,20.739221848299447,0.0475518273117132,False,False,False,True,1.0
PSO,19,785296,PSO_30p_50i,121.54596400260924,89.55801628216233,89.55801628216233,1500.0,-1.0,False,2.7723850894564444,0.9866938560156951,287.6409475489935,9.463509723256076,4.229098805515815,3.0986307949080576,53.57113559181158,2.1238929918488574,2.085782960549544,0.010676764093709,0.0093235702144769,0.2256472832534949,0.0168768190161074,0.0010161442416737,13.310490128618072,13.977210958991469,33.459551171363024,16.544627680961526,11.156297169209314,15.615904919462926,1.6144241673751811,15.096929456568786,0.0873824159268477,0.4150930914093413,33.459551171363024,1.0,0.9648312017788856,21.07067602787536,0.0732655423678149,False,False,False,True,1.0
PSO,20,692287,PSO_30p_50i,120.24880862236024,82.11684908653274,82.11684908653274,1500.0,-1.0,False,1.639547896446054,0.1720038852158668,267.9709974915959,9.061834752771247,3.4631129642371192,1.547860296474882,49.92136047958138,2.695068002490047,1.5744280216506068,0.0058436184563427,0.0080961302903689,0.17305205119537,0.0207802299420986,0.0007572794973917,10.00277561183864,13.965681877016026,26.954769295715757,1.2016286296114964,14.752684140211825,3.901149710493195,24.27205026082563,13.578677075101796,0.0762661988461147,0.3553555522204324,26.954769295715757,2.0,0.9792016883357032,18.585880486718647,0.0500202846503654,False,False,False,True,1.0
PSO,21,21122,PSO_30p_50i,120.63441371917725,78.8196467342368,78.8196467342368,1500.0,-1.0,False,0.4183106730778835,0.4295901115245607,260.6218033513221,8.878042956318515,1.5090831552666373,2.645539601007364,53.09426311499192,2.242648602854304,1.8162421960008364,0.0091579907390423,0.0063634997413337,0.2891074209650842,0.0213606131454623,0.0012765494293085,8.463322332477404,0.7517925682603119,14.4748842380288,20.456253233327907,42.41744875127301,6.803065727311752,27.65494293085172,17.288815683075843,0.0445211822403462,0.2249540260537177,42.41744875127301,1.0,0.9946935641404352,25.37676675599563,0.0263461062567796,False,False,False,True,1.0
PSO,22,135818,PSO_30p_50i,120.05244612693788,77.99848222117429,77.99848222117429,1500.0,-1.0,False,0.2712078939849776,0.3719538889594016,258.4709912756987,8.83167493860447,1.298420807784353,2.91222229850996,51.44889162789309,3.0320068842737817,1.7725796134577885,0.0086447192860369,0.0065096547154606,0.1633926826977479,0.0189342192902211,0.0009386714809979,23.75538303158292,3.1377260405580225,8.058991075462304,18.629316056741622,19.51099374495178,5.328903548894159,6.132851900201913,12.079166485484675,0.0974709659882289,0.5861754260955903,23.75538303158292,1.0,0.9965596209069928,19.670579971570444,0.021482357590618,False,False,False,True,1.0
PSO,23,81829,PSO_30p_50i,119.89090704917908,83.14947189413122,83.14947189413122,1500.0,-1.0,False,3.3360109826543543,2.4947631116903204,261.88693118543904,9.11863322511281,4.752473510839412,6.185998234389205,54.06149245708912,3.492841332830162,1.9961057864609597,0.0093648757559387,0.0086008877942966,0.1580142689457282,0.0154950631852395,0.0012564334869907,42.564952360414765,9.076818932292865,17.06094694923434,7.511097428707655,22.16045864742451,22.524684073802256,25.643348699074718,20.934615298707303,0.1800942834567685,1.05695575967923,42.564952360414765,0.0,0.9576813850433038,27.72208034051884,0.0803809596972777,False,False,False,True,1.0
PSO,24,476104,PSO_30p_50i,119.95108914375304,85.4295631712238,85.4295631712238,1500.0,-1.0,False,4.522603968607612,0.9028429349020924,268.18512578388385,9.242811432200908,4.660347477519238,2.6954797051120245,52.18264457011216,2.890120685295943,2.2584337572618907,0.010281127981604,0.0086151413008983,0.269978472870143,0.0173501156221287,0.0005663465344239,17.964109603916036,23.411680724693472,28.514099770050045,7.689266261229127,32.99432161090789,13.24942188935611,43.36534655760339,23.88403520253658,0.1345018175077037,0.6178677930602633,43.36534655760339,0.0,0.9426289850530264,21.327097151455515,0.0955446756699506,False,False,False,False,0.0
PSO,25,611382,PSO_30p_50i,120.8326027393341,77.94401037084181,77.94401037084181,1500.0,-1.0,False,0.1252807145811094,0.0994878178742692,259.22995249107856,8.828590508730247,1.5335720851239287,1.6603974155166965,52.1312784172934,2.9049936600333086,1.807740326063936,0.0042393387161753,0.0105981383410202,0.2167103247305948,0.020146812685039,0.0009893787419755,18.571169797277896,1.2163756249215232,47.00826604780751,32.47672926275339,6.753854547091049,0.7340634251953686,1.0621258024492115,15.40322635821371,0.0710685560382679,0.4557670581792528,47.00826604780751,3.0,0.9984107647278668,16.432823055557062,0.0144359976250266,False,False,False,True,1.0
PSO,26,806822,PSO_30p_50i,119.71955895423888,85.60370424434952,85.60370424434952,1500.0,-1.0,False,1.2426590875140262,0.4492845782797153,280.4546762256521,9.252226988371476,3.183015467181516,3.0638520353833183,55.05876919297418,1.8557117160468044,2.127706770254771,0.0079109772342541,0.0111324936482172,0.2354913931062657,0.0190446324135368,0.0006877630297995,24.25666465115085,16.268129522118628,1.1127845718230789,39.15617060271576,16.005612367618596,4.77683793231572,31.22369702004365,18.971413809683757,0.1327107954692656,0.6654880966525297,39.15617060271576,2.0,0.984236379400315,18.6174542044118,0.0478334911572807,False,False,False,True,1.0
PSO,27,46838,PSO_30p_50i,122.0829303264618,78.41324443602906,78.41324443602906,1500.0,-1.0,False,0.2853625272414253,0.1707750127213574,260.1416480080899,8.855125320176393,1.2552460297213937,1.7078961659781091,52.57517768401658,2.3700066014950703,1.9022615383772312,0.0046420545565068,0.0114540121864609,0.2790022917618899,0.0207539543927549,0.0011558488145948,3.2650366736706093,3.948717944110992,41.974318043663935,43.17515233076183,37.439552592064,3.7697719637746174,15.584881459487733,21.308204429647677,0.0337112842116221,0.1319879571019155,43.17515233076183,3.0,0.996380063801891,21.735543289829945,0.0219771318415919,False,False,False,True,1.0
PSO,28,484496,PSO_30p_50i,123.36926341056824,93.2351227037136,93.23512270371361,1500.0,-1.0,False,3.156952371286738,0.4515217642013489,299.5080315010874,9.655833609984878,4.614406294892422,2.635507568871832,53.5873515822293,2.7860104443456915,1.421674213057578,0.0071622795746447,0.0057598123613314,0.2826079824109587,0.021143222560303,0.0005111943037087,13.714712014109848,22.312884532372784,10.471505316941029,28.002345483357043,39.21575488224568,5.716112801515214,48.88056962912474,24.04484066566662,0.1183791642885271,0.5347687948637982,48.88056962912474,0.0,0.9599528141448704,22.113010441269555,0.0684961198189747,False,False,False,True,1.0
PSO,29,874335,PSO_30p_50i,122.47181916236876,82.99703451827318,82.99703451827318,1500.0,-1.0,False,0.7973913674759189,0.4906836797113149,273.1810043698053,9.110270825736915,2.6832357735392875,3.1551048592188664,51.92353132260064,3.137952418237665,1.9074142901292213,0.0059902173993415,0.0102522341635936,0.2456770511487988,0.0183865500252296,0.0005034396406101,28.07969054031284,4.230289078099518,25.12228250823034,28.152927044920297,21.02317790581223,8.067249873851944,49.656035938987856,23.47595041288786,0.1163451123734424,0.6936171814105099,49.656035938987856,1.0,0.989884776031775,18.83615945962691,0.0379350132822656,False,False,False,True,1.0
PSO,30,360416,PSO_30p_50i,122.67856907844543,81.26436121031013,81.26436121031013,1500.0,-1.0,False,0.7071163872392534,1.7542944601956694,265.60032530991015,9.014674770079624,3.480570196684461,6.112643117850798,52.52570076530816,1.5641616815699226,1.841436247110578,0.0092877980426709,0.006712988147049,0.2182797991831607,0.0229009118030387,0.0005808463156996,36.1566660583705,0.6249315360971586,16.097475533386483,16.087648161886534,7.526994671507757,14.50455901519364,41.91536843003633,18.98766334378263,0.1312070343009681,0.8860506149269848,41.91536843003633,1.0,0.9910299497583374,19.30569745388045,0.0335507602153212,False,False,False,True,1.0
PSO-SQP,1,743695,PSO_30p_50i,50.16536831855774,85.33957801660998,85.33957801660998,1500.0,-1.0,False,1.419556410953532,0.7623292079145981,278.4628566723305,9.237942304247737,2.8514328530844537,3.528313547243764,54.92329845606355,2.838346605559362,2.0241753926470407,0.0078001745421522,0.0095273082258467,0.1466997070520467,0.0178648932161173,0.0013997823523126,15.85088185956578,10.610677193827357,2.497818223096875,19.091352823083884,27.73413445711985,10.675533919413027,39.97823523126435,18.062661958195875,0.0918691877106064,0.4378287145136489,39.97823523126435,1.0,0.981992367088476,30.924491160530447,0.0506033995145192,False,False,False,True,1.0
PSO-SQP,2,205242,PSO_30p_50i,50.2666449546814,107.43935499200964,107.43935499200964,1500.0,-1.0,False,3.977662111797482,2.0916176728576463,341.38628014594445,10.36529570210178,6.752351014449562,6.886424190648917,59.01171218484865,1.434716375696056,1.6562285270968342,0.0060091448718741,0.0091748035801765,0.1575128005087803,0.0232859526551152,0.0005984554602684,41.44014793077323,9.49570890181234,24.8856891015736,14.685044752206457,22.40748743409835,16.429763275576363,40.15445397315015,24.21404219559864,0.1773422075144969,1.0310590430633466,41.44014793077323,0.0,0.9495417874184986,24.05890584414171,0.0758257616543201,False,False,False,False,0.0
PSO-SQP,3,861763,PSO_30p_50i,96.57957720756532,76.47231423634781,76.47231423634781,1500.0,50.0,True,0.0737008891433973,0.0281627733165808,254.61510653515376,8.744845009281057,0.8536493802165843,0.5697181539137031,51.44608015760855,2.5196968322070847,1.7903858792395273,0.009170503263536,0.0065890939625499,0.2036330524711416,0.0199348241197706,0.0009451809038823,2.844768661513655,2.164706052484851,14.63129079420011,17.636325468125214,0.3118485079515373,0.3258794011470022,5.481909611769583,6.199532642455993,0.0160922013880045,0.0801916187985014,17.636325468125214,4.0,0.9990650751553748,14.919276910994537,0.0111487603983695,True,False,False,True,2.0
PSO-SQP,4,7771,PSO_30p_50i,89.86031174659729,76.48798729179865,76.48798729179865,1500.0,-1.0,False,0.0946848820998172,0.0299839887471562,254.59436805108416,8.745741094486998,0.8447002200863714,0.5925966872757886,51.44977954176329,2.5537310907284976,1.7829197702711546,0.0099009356955779,0.0057967909346199,0.2164173684587743,0.0199161810240061,0.0009485398352095,4.233922070550914,2.5726901491172414,23.76169619472464,27.540113317250416,6.609541112696717,0.4190948799691688,5.146016479041983,10.040439171907297,0.0240668732596942,0.114739663377042,27.540113317250416,3.0,0.9987988849291456,15.163234984832814,0.0126677062655703,False,False,False,True,1.0
PSO-SQP,5,68532,PSO_30p_50i,96.2840256690979,76.46981639971709,76.46981639971709,1500.0,50.0,True,0.0734984367602819,0.0265518433110145,254.61014013767095,8.744702190453205,0.8552915091268964,0.5433015565613779,51.44661915527172,2.501521150176717,1.814999752499426,0.0078498338578915,0.0080236502145576,0.2049193005648945,0.0199703648459405,0.0009446443728601,2.102904088845591,0.8196856557690797,1.877076776355064,0.2956276819710088,0.9454682585687488,0.1481757702974893,5.535562713981001,1.6749287065411402,0.009814215054293,0.0536949448920418,5.535562713981001,6.0,0.999067643343697,14.876582572613357,0.0111296156816788,True,False,True,True,3.0
