Rproximal,Rdistal,incremento,Dst,Esf_proximal,Esf_medial,Esf_distal,VALORES DE REFERENCIA FÉMUR SANO,,
80,2400,0.5,19,9960000,15800000,37900000,,,
100,2400,0.5,19,9490000,16100000,38400000,,,
110,2400,0.5,19,9280000,16200000,38300000,,,
80,2700,0.5,19,9860000,16000000,38400000,,,
100,2700,0.5,19,9500000,16100000,38400000,,,
110,2700,0.5,19,9370000,16000000,38100000,,,
80,3000,0.5,19,9870000,16000000,38400000,,,
100,3000,0.5,19,9530000,16100000,38400000,,,
110,3000,0.5,19,9370000,15900000,38300000,,,
80,600,1,19,8780000,16100000,38200000,,,
100,600,1,19,8480000,16100000,38400000,,,
110,600,1,19,8280000,16200000,38300000,,,
80,900,1,19,9200000,15900000,38100000,,,
100,900,1,19,8770000,16200000,38400000,,,
110,900,1,19,8560000,16200000,38400000,,,
80,1200,1,19,9340000,15900000,38100000,,,
100,1200,1,19,8900000,16200000,38400000,,,
110,1200,1,19,8870000,15800000,38000000,,,
80,1500,1,19,9270000,16200000,38300000,,,
100,1500,1,19,8930000,16100000,38400000,,,
110,1500,1,19,8750000,16100000,38300000,,,
80,1800,1,19,9300000,16200000,38400000,,,
100,1800,1,19,9380000,15400000,37500000,,,
110,1800,1,19,8770000,16100000,38400000,,,
80,2100,1,19,9310000,16100000,38400000,,,
100,2100,1,19,9120000,16000000,38300000,,,
110,2100,1,19,8830000,16200000,38300000,,,
80,2400,1,19,9350000,16200000,38300000,,,
100,2400,1,19,9060000,16100000,38300000,,,
110,2400,1,19,8840000,16200000,38300000,,,
80,2700,1,19,9370000,16000000,38400000,,,
100,2700,1,19,9050000,16100000,38400000,,,
110,2700,1,19,8850000,16100000,38400000,,,
80,3000,1,19,9370000,16200000,38300000,,,
100,3000,1,19,9190000,15800000,38100000,,,
110,3000,1,19,8880000,16100000,38400000,,,
80,600,0,20,9730000,16000000,38200000,,,
100,600,0,20,9210000,16200000,38400000,,,
110,600,0,20,9010000,16100000,38400000,,,
80,900,0,20,10000000,16000000,38300000,,,
100,900,0,20,9550000,16200000,38300000,,,
110,900,0,20,9340000,16100000,38400000,,,
80,1200,0,20,10200000,16000000,38200000,,,
100,1200,0,20,9720000,16100000,38300000,,,
110,1200,0,20,9510000,16200000,38300000,,,
80,1500,0,20,10200000,16100000,38400000,,,
100,1500,0,20,9800000,16100000,38300000,,,
110,1500,0,20,9560000,16200000,38300000,,,
80,1800,0,20,10300000,16100000,38400000,,,
100,1800,0,20,9840000,16100000,38400000,,,
110,1800,0,20,9610000,16200000,38300000,,,
80,2100,0,20,10300000,15900000,38200000,,,
100,2100,0,20,9860000,16100000,38300000,,,
110,2100,0,20,9700000,16000000,38100000,,,
80,2400,0,20,10300000,16000000,38400000,,,
100,2400,0,20,9870000,16200000,38300000,,,
110,2400,0,20,9620000,16200000,38300000,,,
80,2700,0,20,10500000,15800000,38000000,,,
100,2700,0,20,9910000,16100000,38400000,,,
110,2700,0,20,9610000,16100000,38300000,,,
80,3000,0,20,10500000,15900000,38100000,,,
100,3000,0,20,9920000,16000000,38300000,,,
110,3000,0,20,9660000,16000000,38400000,,,
80,600,0.5,20,9190000,16100000,38300000,,,
100,600,0.5,20,8870000,16100000,38300000,,,
110,600,0.5,20,8580000,16200000,38400000,,,
80,900,0.5,20,9570000,16100000,38100000,,,
100,900,0.5,20,9150000,16100000,38400000,,,
110,900,0.5,20,8940000,16100000,38400000,,,
80,1200,0.5,20,9680000,16200000,38300000,,,
100,1200,0.5,20,9340000,16100000,38200000,,,
110,1200,0.5,20,9070000,16100000,38400000,,,
80,1500,0.5,20,9730000,16200000,38300000,,,
100,1500,0.5,20,9370000,16100000,38300000,,,
110,1500,0.5,20,9150000,16200000,38300000,,,
80,1800,0.5,20,9790000,16100000,38100000,,,
100,1800,0.5,20,9460000,16000000,38200000,,,
110,1800,0.5,20,9210000,16100000,38300000,,,
80,2100,0.5,20,9770000,16100000,38400000,,,
100,2100,0.5,20,9450000,16100000,38300000,,,
110,2100,0.5,20,9230000,16000000,38300000,,,
80,2400,0.5,20,9810000,16000000,38300000,,,
100,2400,0.5,20,9550000,15800000,38000000,,,
110,2400,0.5,20,9180000,16100000,38300000,,,
80,2700,0.5,20,9800000,16100000,38400000,,,
100,2700,0.5,20,9470000,16200000,38300000,,,
110,2700,0.5,20,9220000,16100000,38300000,,,
80,3000,0.5,20,9800000,16100000,38300000,,,
100,3000,0.5,20,9490000,16200000,38300000,,,
110,3000,0.5,20,9260000,16200000,38300000,,,
80,600,1,20,8730000,16100000,38300000,,,
100,600,1,20,8390000,16100000,38400000,,,
110,600,1,20,8230000,16200000,38300000,,,
80,900,1,20,9040000,16100000,38300000,,,
100,900,1,20,8700000,16100000,38400000,,,
110,900,1,20,8530000,16200000,38300000,,,
80,1200,1,20,9190000,16000000,38100000,,,
100,1200,1,20,8840000,16100000,38300000,,,
110,1200,1,20,8610000,16200000,38400000,,,
80,1500,1,20,9230000,16200000,38300000,,,
100,1500,1,20,8970000,15900000,38200000,,,
110,1500,1,20,8730000,16200000,38300000,,,
80,1800,1,20,9210000,16200000,38400000,,,
100,1800,1,20,8920000,16200000,38400000,,,
110,1800,1,20,8750000,16200000,38400000,,,
80,2100,1,20,9280000,16100000,38300000,,,
100,2100,1,20,8900000,16200000,38300000,,,
110,2100,1,20,8840000,16100000,38400000,,,
80,2400,1,20,9280000,16100000,38400000,,,
100,2400,1,20,8940000,16200000,38300000,,,
110,2400,1,20,8810000,16200000,38300000,,,
80,2700,1,20,9320000,16100000,38400000,,,
100,2700,1,20,8950000,16100000,38400000,,,
110,2700,1,20,8840000,16200000,38300000,,,
80,3000,1,20,9320000,16100000,38400000,,,
100,3000,1,20,9030000,16200000,38300000,,,
110,3000,1,20,8820000,16100000,38400000,,,
108,600,0,19,9141000,16080000,38360000,,,
110,600,0,19,9089000,16100000,38380000,,,
108,700,0,19,9294000,16150000,38310000,,,
110,700,0,19,9248000,16110000,38370000,,,
108,600,0.25,19,8938000,16140000,38380000,,,
110,600,0.25,19,8920000,16160000,38290000,,,
108,700,0.25,19,9081000,16150000,38270000,,,
110,700,0.25,19,9061000,16150000,38270000,,,
108,600,0.5,19,8752000,16140000,38400000,,,
110,600,0.5,19,8710000,16100000,38400000,,,
108,700,0.5,19,8920000,16160000,38280000,,,
110,700,0.5,19,8874000,16170000,38280000,,,
108,600,0,20,9061000,16080000,38380000,,,
110,600,0,20,9029000,16040000,38370000,,,
108,700,0,20,9237000,16190000,38280000,,,
110,700,0,20,9159000,16140000,38370000,,,
108,600,0.25,20,8861000,16060000,38390000,,,
110,600,0.25,20,8814000,16060000,38390000,,,
108,700,0.25,20,8970000,16220000,38370000,,,
110,700,0.25,20,8960000,16130000,38390000,,,
108,600,0.5,20,8671000,16100000,38350000,,,
110,600,0.5,20,8576000,16170000,38380000,,,
108,700,0.5,20,8906000,15900000,38150000,,,
110,700,0.5,20,8783000,16170000,38280000,,,
