algorithm,run,cost,param_error_%,time_s,best_params,cost_history
PSO,1,8.233193193473877,6.697137099726026,1451.879140138626,"[2.45203964e+00 1.84670005e+00 6.91510325e-03 9.06255905e-03
 2.03124884e-01 1.98846201e-02 1.18402522e-03]","[np.float64(8.39311590050731), np.float64(8.39311590050731), np.float64(8.39311590050731), np.float64(8.39311590050731), np.float64(8.39311590050731), np.float64(8.39311590050731), np.float64(8.39311590050731), np.float64(8.383279749687985), np.float64(8.383279749687985), np.float64(8.291938215863441), np.float64(8.291938215863441), np.float64(8.291938215863441), np.float64(8.254873563296595), np.float64(8.254873563296595), np.float64(8.254873563296595), np.float64(8.254873563296595), np.float64(8.254873563296595), np.float64(8.254873563296595), np.float64(8.254873563296595), np.float64(8.253458323907813), np.float64(8.253458323907813), np.float64(8.253458323907813), np.float64(8.253458323907813), np.float64(8.253458323907813), np.float64(8.253458323907813), np.float64(8.244771877672518), np.float64(8.244771877672518), np.float64(8.241565736896769), np.float64(8.241565736896769), np.float64(8.241565736896769), np.float64(8.241565736896769), np.float64(8.241565736896769), np.float64(8.239172873430086), np.float64(8.239172873430086), np.float64(8.23696977351365), np.float64(8.23696977351365), np.float64(8.23696977351365), np.float64(8.236535547528247), np.float64(8.235706872048011), np.float64(8.235693005641942), np.float64(8.235693005641942), np.float64(8.235681806190412), np.float64(8.235588867568122), np.float64(8.235574909374389), np.float64(8.235574909374389), np.float64(8.234946749090911), np.float64(8.234171706695978), np.float64(8.234169448484156), np.float64(8.233648852362542), np.float64(8.233648852362542), np.float64(8.233648852362542), np.float64(8.233623846368836), np.float64(8.233623846368836), np.float64(8.233541048687519), np.float64(8.233541048687519), np.float64(8.233511958686965), np.float64(8.23347380216223), np.float64(8.23347380216223), np.float64(8.233359511336673), np.float64(8.233359511336673), np.float64(8.233359511336673), np.float64(8.233353698732056), np.float64(8.233338262781668), np.float64(8.23333440312465), np.float64(8.23329925858627), np.float64(8.2332916260709), np.float64(8.23328517124173), np.float64(8.23328517124173), np.float64(8.233251933356378), np.float64(8.233251933356378), np.float64(8.233251933356378), np.float64(8.233251933356378), np.float64(8.23324742807356), np.float64(8.23324742807356), np.float64(8.233244954575168), np.float64(8.233244954575168), np.float64(8.233244489818611), np.float64(8.233244489818611), np.float64(8.23324434162766), np.float64(8.23324434162766), np.float64(8.233244085259058), np.float64(8.233242935997463), np.float64(8.233242661578625), np.float64(8.233240927800564), np.float64(8.233240634393368), np.float64(8.23323888865264), np.float64(8.233237382113737), np.float64(8.233235518095013), np.float64(8.23323394331828), np.float64(8.233230883634763), np.float64(8.233228632958733), np.float64(8.233225193866723), np.float64(8.23322305227967), np.float64(8.233218568790258), np.float64(8.233213085402282), np.float64(8.233208725110966), np.float64(8.233204186906882), np.float64(8.233199922427804), np.float64(8.233196215714596), np.float64(8.233193774030147), np.float64(8.233193193473877)]"
GWO,1,8.248990541736877,0.8507107154452332,1424.0263390541077,"[2.45088213e+00 1.84669493e+00 8.14045823e-03 8.06022535e-03
 2.07188055e-01 2.00699457e-02 9.99146762e-04]","[np.float64(10.557822642520545), np.float64(10.557822642520545), np.float64(8.886993147518915), np.float64(8.886993147518915), np.float64(8.886993147518915), np.float64(8.886993147518915), np.float64(8.886993147518915), np.float64(8.886993147518915), np.float64(8.886993147518915), np.float64(8.886993147518915), np.float64(8.886993147518915), np.float64(8.738799076431501), np.float64(8.738799076431501), np.float64(8.738799076431501), np.float64(8.562488986174202), np.float64(8.562488986174202), np.float64(8.263631434908303), np.float64(8.263631434908303), np.float64(8.263631434908303), np.float64(8.263631434908303), np.float64(8.263631434908303), np.float64(8.263631434908303), np.float64(8.263631434908303), np.float64(8.263631434908303), np.float64(8.263631434908303), np.float64(8.263631434908303), np.float64(8.263631434908303), np.float64(8.263631434908303), np.float64(8.263631434908303), np.float64(8.263631434908303), np.float64(8.263631434908303), np.float64(8.263631434908303), np.float64(8.263631434908303), np.float64(8.263631434908303), np.float64(8.263631434908303), np.float64(8.263631434908303), np.float64(8.263631434908303), np.float64(8.263278044396628), np.float64(8.263278044396628), np.float64(8.263278044396628), np.float64(8.263278044396628), np.float64(8.263278044396628), np.float64(8.263278044396628), np.float64(8.263278044396628), np.float64(8.263278044396628), np.float64(8.263278044396628), np.float64(8.263278044396628), np.float64(8.263278044396628), np.float64(8.263278044396628), np.float64(8.263278044396628), np.float64(8.263278044396628), np.float64(8.263278044396628), np.float64(8.263278044396628), np.float64(8.263278044396628), np.float64(8.263278044396628), np.float64(8.263278044396628), np.float64(8.263278044396628), np.float64(8.263278044396628), np.float64(8.263278044396628), np.float64(8.263278044396628), np.float64(8.263278044396628), np.float64(8.263278044396628), np.float64(8.263278044396628), np.float64(8.263278044396628), np.float64(8.259674761055225), np.float64(8.259674761055225), np.float64(8.259674761055225), np.float64(8.259674761055225), np.float64(8.259674761055225), np.float64(8.259674761055225), np.float64(8.259674761055225), np.float64(8.248990541736877), np.float64(8.248990541736877), np.float64(8.248990541736877), np.float64(8.248990541736877), np.float64(8.248990541736877), np.float64(8.248990541736877), np.float64(8.248990541736877), np.float64(8.248990541736877), np.float64(8.248990541736877), np.float64(8.248990541736877), np.float64(8.248990541736877), np.float64(8.248990541736877), np.float64(8.248990541736877), np.float64(8.248990541736877), np.float64(8.248990541736877), np.float64(8.248990541736877), np.float64(8.248990541736877), np.float64(8.248990541736877), np.float64(8.248990541736877), np.float64(8.248990541736877), np.float64(8.248990541736877), np.float64(8.248990541736877), np.float64(8.248990541736877), np.float64(8.248990541736877), np.float64(8.248990541736877), np.float64(8.248990541736877), np.float64(8.248990541736877), np.float64(8.248990541736877), np.float64(8.248990541736877), np.float64(8.248990541736877)]"
