Rebalanceo,LSTM_GA_Costs
0,100.0
1,21.257303925441143
2,180.95152304655986
3,244.01081251291606
4,9.060167581771763
5,152.3114838105598
6,30.076372739034912
7,65.34247049322076
8,72.20669346414121
9,241.28459951228405
10,265.1209258037577
11,317.9874525835326
12,210.45648590184794
13,121.94653218474588
14,209.33494854224895
15,332.9698812005316
16,377.81967868724183
17,260.8976264375087
18,183.48768635257505
19,236.5969815973157
20,27.09831850662105
21,31.768287911426604
22,135.72531511070972
23,177.69433547761582
24,167.99950818167477
25,228.35354721275206
26,250.46509276262046
27,8.897506111550298
28,34.656953398543614
29,38.64788673727465
30,0.0
31,156.94064937932905
32,152.90587776458628
33,35.64679061110415
34,346.87583090669784
35,130.96027288329185
36,104.35828643847128
37,41.02941400495199
38,106.85874360102845
39,205.63672340663544
40,62.092408748433186
41,180.19336011886432
