Model,Test Accuracy,Cross-Validation Mean
Random Forest,0.9814814814814815,0.8111111111111111
SVM,0.9074074074074074,0.8222222222222222
MLP,0.9629629629629629,0.8111111111111111
KNN,0.8888888888888888,0.7833333333333334
