AAPL,MSFT,GOOGL,AMZN,NVDA,META,TSLA,JPM,V,UNH
0.002643946209996084,0.0,0.03385961526825539,0.09427256012645142,0.10280276505918753,0.09966191690709472,0.21283939129589943,0.12358893663234334,0.17363594853333975,0.15669491985595757
0.000528789242057012,0.0,0.015629595922986544,0.09135680804355796,0.1425965193476043,0.1811273419373916,0.24054089438475743,0.11861585363658932,0.03472718971046353,0.17487700777459236
0.00023119960028795595,0.030611810271851444,0.01672977160176182,0.09162253623401233,0.17847015643469824,0.1787466662111911,0.24432295983872418,0.05234416921412873,0.042272845101509686,0.16464788549183454
0.00010155701161886875,0.013446580217184633,0.007348739387200636,0.0734853183591941,0.21851917396095724,0.20611563027688581,0.2472813857475864,0.042245365349020264,0.018577768491411725,0.17287848119894034
3.135881715681321e-05,0.04111922456650235,0.002269146867388528,0.08059077723072071,0.23911459835976434,0.21989490659285918,0.1750271917930797,0.013044541844874104,0.005736451240709275,0.22317180268694495
0.005147510375947008,0.03688784885629572,0.0022983946517561695,0.09897066522443096,0.24272985096867253,0.2268594713326303,0.14544494711172654,0.011494327694699465,0.0035121231281376375,0.22665486065570367
0.030451438935460845,0.03204092356697727,0.0014516484754891162,0.10510867085521684,0.2452189662307435,0.21446732976525595,0.14099547569500423,0.0072597294211564104,0.002218230094120468,0.22078758696057546
0.05331559795453076,0.0462386114190077,0.00037350283817888497,0.20345076290789438,0.24771746516705553,0.21160862592131727,0.03627752257634008,0.00186789680077269,0.0005707409540788801,0.19857927346082385
0.06586001239256979,0.09323230770893762,0.00013905558337859317,0.22819089754791932,0.24812172714594943,0.1376437356483491,0.013506167958399835,0.0006954203630389926,0.00021248758567527323,0.21239818806578195
0.04537463625806207,0.07362623931227036,7.923887288757745e-05,0.23734073111713302,0.2489123818443502,0.15175267932493605,0.007696300285477565,0.00039627553537532174,0.016722258936405693,0.21809925851310227
0.031242003622989213,0.07247907542148593,0.0009575405953479538,0.23910355180332185,0.24890480641444743,0.14784903099796262,0.010939408494913582,0.012923840156985215,0.011496233788258288,0.224104508704288
0.007217137253537943,0.11009773989446849,0.008100454430418834,0.19321127605476807,0.23121204037192053,0.09646209166500061,0.03454967216522522,0.08405338498164239,0.002655716264227295,0.23244048691879085
0.016601362372398676,0.13218157520370719,0.011789586590145156,0.21078160186297373,0.22638261327855175,0.036257935236414116,0.012986446325013633,0.10162403865867681,0.02973975055683777,0.22165508991528118
0.012790354334243125,0.11861039723516202,0.014748639333660144,0.20182783751010921,0.22885996041861492,0.055629221660405466,0.012707807977049138,0.10240883554752259,0.029985054761352183,0.22243189122188128
